标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
高楼层采光充足 小三居 正南朝向 有电梯 近地铁 正规商品房,288,29388元/㎡,金地风华国际,浦口,3,98㎡,南,2021年建造,"['南', '有电梯', '车位充足', '户型方正']"
小区靠前位置，无遮挡，诚心出售，看房随时,178,25986元/㎡,万科金色里程,雨花台,2,68.5㎡,南北,2008年建造,"['南北', '满五年', '近地铁']"
"板桥，弘阳春 西江经典开间,精装修经典户型,随时看房",120,13740元/㎡,弘阳春上西江,雨花台,3,87.34㎡,南,2017年建造,"['南', '满二年']"
新街口商圈， ，现房，七大科技系统,318,53000元/㎡,香港置地·金陵中環,秦淮,1,60㎡,南北,,['多轨交']
急售湖景房 金中金小 中间楼层 双地铁4号2号 价格可谈,203.5,21198元/㎡,万达茂御湖仕家三期,栖霞,3,96㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '采光较好']"
29 场门口 清凉门 房龄新 带花园 空间大,328,64377元/㎡,场门口14号小区,鼓楼,2,50.95㎡,南,1990年建造,"['南', '新上小区', '南北通透', '房东急售']"
江北核心区中海左岸澜庭，房东诚心卖，房东急售急售,265,27094元/㎡,中海左岸澜庭,浦口,3,97.81㎡,南,2021年建造,"['南', '唯一住房', '近地铁', '车位充足']"
万科金域蓝湾精装3房户型正采光好价格可谈看房方便随时约,275,32228元/㎡,万科金域蓝湾,江宁,3,85.33㎡,南北,2013年建造,"['南北', '满五年', '近地铁']"
看我 来电享团购特价7折起 年终数量有限 江北核中核龙湖 棒,359,31770元/㎡,龙湖·天璞,浦口,3,113㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '车位充足']"
安泰村 3楼 省二中旁 7号线地铁口 大客厅 南北两房满五年,198,25715元/㎡,安泰小区,建邺,2,77㎡,南,1992年建造,"['南', '近地铁']"
河西南 朗诗熙华府 性价比超高 随时看 诚心出 科技住房,585,36659元/㎡,朗诗熙华府,建邺,3,159.58㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '车位充足']"
桥北 精装修三房 医疗配套成熟 有电梯 高楼层视野好,102,11820元/㎡,江岸水城,浦口,2,86.3㎡,南北,2015年建造,"['南北', '有电梯', '近地铁', '绿化率高']"
新上直降100W！ 仙林湖金中金小 融信世纪东方 次新房小区,244,24501元/㎡,融筑儒林花园,栖霞,3,99.59㎡,南,2018年建造,"['南', '热门小区', '近地铁', '房东急售']"
